title,release_year,description,type,rating,runtime,imdb_rating,genre,director,stars,gross
Christmas Joy,2018.0,"Joy Holbrook is a market researcher about to get a sweet promotion just in time for the holidays. But she receives an urgent phone call from home and rushes back to help her Aunt recover from surgery, reuniting with her former crush, Ben.",Movie,TV-G,84.0,6.4,"Family, Romance",Monika Mitchell,"Danielle Panabaker, Matt Long, Lucia Walters, Beverley Elliott, ",
The Mistletoe Inn,2017.0,An aspiring novelist signs up for a week-long writing workshop at the Mistletoe Inn.,Movie,TV-G,84.0,6.4,"Comedy, Drama, Romance",Alex Wright,"Alicia Witt, David Alpay, Lucie Guest, Casey Manderson, ",
Holiday High School Reunion,2012.0,"When a woman learns of her high school reunion a week before Christmas, she's ecstatic to finally have her chance to win back the one ""that got away"".",Movie,Not Rated,88.0,4.9,"Comedy, Drama, Musical",Marita Grabiak,"Rachel Boston, Jonathan Bennett, Jon Prescott, Marilu Henner, ",
Christmas Eve,1986.0,"Story of a well-to-do elderly woman, who befriends the homeless and volunteers her time with children, who learns she has an incurable illness and wants desperately to reunite her three ...                See full summary »",Movie,,93.0,7.3,Drama,Stuart Cooper,"Loretta Young, Arthur Hill, Ron Leibman, Trevor Howard, ",
Letters to Satan Claus,2020.0,"Holly returns to her hometown to make a Christmas special before her promotion to a television anchorwoman, but first she must face Satan Claus and horrible childhood memories of him.",Movie,TV-14,87.0,4.8,"Comedy, Horror",Emma Jean Sutherland,"Karen Knox, Jessica Clement, Joseph Cannata, Alex Harrouch, ",
Jingle Around the Clock,2018.0,"Elle's plans for Christmas reunion are thwarted by work. In order to get a career-altering promotion she's forced to team up with advertising campaign 'fixer' Max, who has a completely different take on the Holidays.",Movie,TV-G,90.0,6.5,"Comedy, Romance",Paul Ziller,"Brooke Nevin, Michael Cassidy, Jeremy Guilbaut, Andrea Brooks, ",
Christmas Everlasting,2018.0,A hotshot lawyer returns to her childhood home following a death in the family.,Movie,TV-PG,85.0,6.3,"Drama, Romance",Ron Oliver,"Tatyana Ali, Dondré T. Whitfield, Dennis Haysbert, Patti LaBelle, ",
Christmas Trade,2015.0,"A week before Christmas, a workaholic widower and his 11-year-old son get a shock when their wish unexpectedly comes true.",Movie,Not Rated,99.0,4.9,"Comedy, Family",Joel Souza,"William Baldwin, Denise Richards, Michael Campion, Tom Arnold, ",
Sweet Mountain Christmas,2019.0,"As country-music star Laney Blu spends more time in her hometown, it becomes less and less like she remembered it.",Movie,TV-G,88.0,6.3,Romance,David Weaver,"Megan Hilty, Marcus Rosner, Teryl Rothery, Kate Craven, ",
Christmas on Honeysuckle Lane,2018.0,"Emma returns home to celebrate Christmas for the last time with her siblings in the house they grew up in. After their parents' recent passing, the siblings reluctantly agree to sell the family home on Honeysuckle Lane.",Movie,PG,100.0,6.2,"Drama, Romance",Maggie Greenwald,"Alicia Witt, Colin Ferguson, Laura Leighton, Jill Larson, ",
This Is Christmas,2017.0,"Christmas is approaching, and best friends Harry, Jordan, Ben, and Dennis are at their annual get-together before the holidays. As they share stories of their past year, it is clear they all still have a lot of growing to do.",Movie,,128.0,3.6,Drama,Joseph Rassulo,"A. Russell Andrews, Lynsey Bartilson, Scarlett Chorvat, Jsu Garcia, ",
Christmas Connection,2017.0,A flight attendant teams up with a newspaper columnist to investigate how her late-parents first met.,Movie,TV-G,83.0,6.4,"Comedy, Drama, Family",Steven R. Monroe,"Brooke Burns, Tom Everett Scott, Sophie Neudorf, Micheline Marchildon, ",
Christmas in the Clouds,2001.0,"During the holidays at a ski resort in Utah run by a Native American tribe, the overworked manager and a widowed woman from the big city overcome mistaken identities and intrusive guests in their pursuit of romance.",Movie,PG,96.0,6.4,"Comedy, Family, Romance",Kate Montgomery,"Timothy Vahle, Sam Vlahos, Mariana Tosca, M. Emmet Walsh, ",
Christmas in Palm Springs,2014.0,A brother and sister hatch a plan to reunite their separated parents by ensuring they're both in Palm Springs for Christmas.,Movie,Not Rated,84.0,5.0,Comedy,Fred Olen Ray,"Patrick Muldoon, Dina Meyer, Ian Ziering, Bill Cobbs, ",
Beat Street,1984.0,"An aspiring DJ, from the South Bronx, and his best friend, a promoter, try to get into show business by exposing people to hip-hop music and culture.",Movie,PG,105.0,6.5,"Drama, Music",Stan Lathan,"Rae Dawn Chong, Guy Davis, Jon Chardiet, Leon W. Grant, ",$16.60M
The Christmas Ring,2020.0,A website writer tries to locate the owner of an antique engagement ring for her latest human interest story.,Movie,TV-G,84.0,6.4,"Drama, Romance",Troy Scott,"Nazneen Contractor, David Alpay, Kazumi Evans, Chelsey Reist, ",
Christmas in Compton,2012.0,"Big Earl, the owner of a Christmas tree lot in Compton, California runs into some trouble when his son Derrick crosses the line to prove to his father that he is a success.",Movie,PG-13,93.0,4.6,Comedy,David Raynr,"Keith David, Omar Gooding, Sheryl Lee Ralph, Miguel A. Núñez Jr., ",
A Gingerbread Romance,2018.0,"With Christmas just weeks away, the architecture firm Taylor works for enters her in a contest in which the teams will design and build life-sized gingerbread houses. After the contest, ...                See full summary »",Movie,TV-PG,90.0,5.5,"Drama, Family, Romance",Richard Gabai,"Tia Mowry-Hardrict, Duane Henry, Jordana Lajoie, Giles Panton, ",
A Christmas Duet,2019.0,"During the chaos of planning a Christmas festival and vying for the Top Winter Lodge Award, an innkeeper rekindles her love of music as well as her love for her former music partner.",Movie,Not Rated,84.0,5.9,"Drama, Music, Romance",Catherine Cyran,"Chaley Rose, Rome Flynn, Chiara Zanni, Lane Edwards, ",
Oh Christmas Tree!,2013.0,"After a woman unexpectedly loses her job, she must work at her family's Christmas-tree lot to make ends meet during the holiday season.",Movie,TV-G,87.0,6.3,"Comedy, Family, Romance",Craig Pryce,"Sarah Lancaster, Eric Johnson, Colin Mochrie, Gregory Ambrose Calderone, ",
Every Day Is Christmas,2018.0,"Ruthless businesswoman Alexis is visited by her deceased mother in a reimagining of ""A Christmas Carol"".",Movie,TV-PG,85.0,5.9,"Drama, Fantasy, Romance",David Weaver,"Toni Braxton, Gloria Reuben, Michael Jai White, Andrew Airlie, ",
Christmas with Tucker,2013.0,A young boy learns to be a man after the death of his father and forms a special bond with a dog.,Movie,Not Rated,87.0,6.7,"Drama, Family",Larry A. McLean,"James Brolin, Gage Munroe, Barbara Gordon, Ron Lea, ",
The Christmas Listing,2020.0,Two realtors compete for the same listing and have to spend time together at an Inn during Christmas.,Movie,TV-PG,84.0,5.2,"Drama, Romance",Elizabeth Snoderly,"Lexi Giovagnoli, Travis Burns, Greg Evigan, Rachel O'Connell, ",
Undercover Christmas,2003.0,An FBI agent is assigned as the protective custodian of a straight-talking cocktail waitress after she agrees to testify against her tax cheat boyfriend.,Movie,,87.0,6.3,"Comedy, Drama, Romance",Nadia Tass,"Jami Gertz, Shawn Christian, Tyne Daly, Winston Rekert, ",
My Christmas Dream,2016.0,"An ambitious store manager of a renowned retail flagship store must enlist the help of a struggling, single-father handyman to help her realize her dream of managing the company's first international store.",Movie,TV-G,82.0,6.2,"Comedy, Romance",James Head,"Danica McKellar, David Haydn-Jones, Christine Lee, Deidre Hall, ",
Catch a Christmas Star,2013.0,"With the help of his two precocious kids, a widower reconnects with his high school sweetheart, who just happens to be one of the biggest pop stars on the planet.",Movie,TV-G,84.0,6.2,"Comedy, Drama, Family",John Bradshaw,"Shannon Elizabeth, Steve Byers, Julia Lalonde, Kyle Breitkopf, ",
Snow 2: Brain Freeze,2008.0,"It's three days before Christmas, and Nick Snowden forgets about spending early Christmas with his wife, Sandy due to pressure at work. After a fight, Nick walks through a magical mirror ...                See full summary »",Movie,TV-PG,84.0,6.0,"Action, Adventure, Family",Mark Rosman,"Tom Cavanagh, Ashley Williams, Lynley Hall, Janelle Cooper, ",
Best Christmas Party Ever,2014.0,A party planner is tasked with mentoring her boss's nephew who is set to take over the business.,Movie,TV-G,84.0,6.3,"Comedy, Drama, Romance",John Bradshaw,"Torrey DeVitto, Steve Lund, Linda Thorson, Kalinka Petrie, ",
By the Light of the Silvery Moon,1953.0,"Marjorie Winfield's engagement to Bill Sherman, who has just arrived home from fighting in World War I, serves as the backdrop for the trials and tribulations of her family.",Movie,Approved,101.0,7.0,"Comedy, Family, Musical",David Butler,"Doris Day, Gordon MacRae, Leon Ames, Rosemary DeCamp, ",
A Crafty Christmas Romance,2020.0,"Mandy Page, the owner of a used book store, loves Christmas.When she finds a touching letter to Santa stuffed between the pages of an old book recently donated, she decides it would be fun ...                See full summary »",Movie,TV-PG,84.0,5.5,Romance,Brian Brough,"Nicola Posener, Brad Johnson, Renny Grames, Wuta Beta, ",
A Midnight Kiss,2018.0,A brother and sister prepare to take over the family party-planning business.,Movie,TV-G,81.0,6.0,Romance,J.B. Sugar,"Adelaide Kane, Carlos PenaVega, Pauline Egan, Jason Cermak, ",
The Christmas Hope,2009.0,"When lives intertwine during Christmas, hope is the only unifying gift. After suffering a personal tragedy, a social worker throws herself into finding homes for children in need.",Movie,TV-PG,90.0,6.5,Drama,Norma Bailey,"Madeleine Stowe, James Remar, Ian Ziering, Tori Barban, ",
Christmas with a Crown,2020.0,"When a successful woman returns to her hometown to revive her family's Christmas festival, she meets a dashing stranger who's volunteered to help organize the event. Sparks begin to fly ...                See full summary »",Movie,,89.0,5.4,Romance,Dylan Pearce,"Lisa Durupt, Marcus Rosner, Teryl Rothery, Michael Lazarovitch, ",
Christmas a la Mode,2019.0,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,Movie,TV-PG,87.0,6.4,"Drama, Romance",John Stimpson,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum, ",
A Dog for Christmas,2015.0,Cute Holiday movie about a girl and her dog. Bringing holiday cheer to the entire family.,Movie,Not Rated,89.0,5.5,"Comedy, Family",Chris Nickin,"Joel Paul Reisig, Dean Cain, Richard Karn, Dustin Diamond, Glenn Alverson, ",
Forgotten Christmas,2019.0,"The story of a tiny village like any other, except that these villagers tend to be so forgetful, over and over. This year they are forgetting that it's time for Christmas.",Movie,,70.0,5.9,"Drama, Family, Fantasy",Andrea Eckerbom,"Miriam Kolstad Strand, Trond Espen Seim, Anders Baasmo, Christian Skolmen, ",
"Christmas, Again",2014.0,"A heartbroken Christmas-tree salesman returns to New York City hoping to put his past behind him. Living in a trailer and working the night shift, he begins to spiral downwards until the ...                See full summary »",Movie,Not Rated,80.0,6.6,"Drama, Romance",Charles Poekel,"Kentucker Audley, Jason Shelton, Oona Roche, David Gauld, ",
Welcome to the Christmas Family Reunion,2021.0,An event designer is hired by famous pop star to plan a large family reunion.,Movie,AL,87.0,5.1,"Comedy, Drama, Music",Jake Helgren,"Michelle Argyris, Alonzo B. Slater, Asia'h Epperson, Vanessa Williams, ",
Romance at Reindeer Lodge,2017.0,"Molly and Jared have sworn-off partaking in holiday activities, but find themselves at a Christmas themed-ranch with no flights available to leave.",Movie,TV-G,90.0,6.4,"Drama, Romance",Colin Theys,"Nicky Whelan, Josh Kelly, Nichole Galicia, Michael Cognata, ",
Love Affair,1939.0,A French playboy and an American former nightclub singer fall in love aboard a ship.,Movie,Approved,88.0,7.3,"Comedy, Drama, Romance",Leo McCarey,"Irene Dunne, Charles Boyer, Maria Ouspenskaya, Lee Bowman, ",
My Favorite Christmas Melody,2021.0,"Follows Abby, a promising singer-songwriter, as she rediscovers her voice and goes after her dreams, and lets the possibility of love in too.",Movie,TV-PG,87.0,5.4,"Comedy, Romance",Michael Kennedy,"Mya, Rainbow Sun Francks, Shakura S'Aida, Carson Reaume, ",
Kristin's Christmas Past,2013.0,"Given the opportunity to visit her estranged family on Christmas Eve 1996, Kristin Cartwright hopes to change her past in order to improve her current life in 2013.",Movie,TV-PG,86.0,6.2,"Comedy, Family, Fantasy",Jim Fall,"Shiri Appleby, Will Kemp, Courtney Henggeler, Esperanza América, ",
My Sweet Holiday,2020.0,"Sadie returns home for Christmas after her boyfriend cancels their Holiday plans, only to find out her parents have sold the family business. Begrudgingly Sadie agrees to teach the new ...                See full summary »",Movie,,84.0,5.4,"Drama, Romance",Sandra L. Martin,"Malone Thomas, Jason Burkey, Remi Hilson, George Cron, ",
Christmas Truce,2015.0,"An American soldier and a Belgian woman fall in love during a brief holiday truce amid the Battle of the Bulge. When fighting resumes, they promise to reunite on the first Christmas after the war ends if they're both alive.",Movie,PG-13,88.0,5.5,Drama,Brian Skiba,"Craig Olejnik, Ali Liebert, Kate Vernon, Josh Blacker, ",
Memories of Christmas,2018.0,"At Christmastime, a young businesswoman travels to her childhood home with the intention of selling it, but instead finds a renewed love for the holidays.",Movie,TV-G,120.0,6.1,"Drama, Romance",Tibor Takács,"Christina Milian, Mark Taylor, Jaime M. Callica, Garry Chalk, ",
Christmas at the Chateau,2019.0,"How will 3 sisters save the Shakespeare Chateau, historic mansion and beloved family home, from a corrupt bank that threatens to foreclose on Christmas Day?",Movie,TV-PG,98.0,3.7,"Comedy, Drama, Romance",Jason Hudson,"Kinsey Leigh Redmond, Justen Jones, Jeffrey Staab, Sarah McGuire, ",
The Truth About Christmas,2018.0,"Jillian, a spin doctor for her councilman boyfriend, George, is not above lying to a little girl to achieve her goals, especially as she's about to meet George's family, so Santa decides to teach her a lesson.",Movie,TV-14,90.0,5.6,"Comedy, Drama, Romance",Jay Karas,"Kali Hawk, Damon Dayoub, Ali Ghandour, Michela Cannon, ",
A Miracle on Christmas Lake,2016.0,"After the loss of his best friend on Christmas Eve, Bobby goes out onto the lake and makes a shocking discovery. When the land is bought, Bobby must rally the town to save it.",Movie,Not Rated,110.0,4.4,"Family, Mystery, Sport",John Kissack,"Kristian Wang, Anne Hawthorne, Jayson Therrien, Siobhan Williams, ",
Holiday Heist,2019.0,A man released from prison is torn between a life of crime and a fresh start with a woman he meets while scoping out a potential heist,Movie,TV-PG,87.0,5.6,"Crime, Drama, Romance",Roger M. Bobb,"Chaley Rose, Tobias Truvillion, Phillip Edward Van Lear, Lucien Cambric, ",
Dear Secret Santa,2013.0,"Jennifer begins exchanging letters with a secret admirer from her past. Now that she has a second chance at love, will she be able to take it?",Movie,PG,88.0,6.1,"Comedy, Family, Romance",Peter Sullivan,"Tatyana Ali, Bill Cobbs, Jordin Sparks, Ernie Hudson, ",
Christmas Hotel,2019.0,"A big city hotel manager learns that her hopes for a promotion are based on a return to her hometown to restructure a local establishment, which the townspeople are less than thrilled about.",Movie,TV-G,88.0,6.0,"Comedy, Drama, Romance",Marla Sokoloff,"Tatyana Ali, Sean Patrick Thomas, Sheryl Lee Ralph, Erika Walter, ",
Young at Heart,1954.0,The lives and romances of three sisters in a musical family; the youngest daughter's life is complicated by the subsequent arrival of a charming composer and a cynical music arranger.,Movie,Approved,117.0,6.7,"Drama, Musical, Romance",Gordon Douglas,"Frank Sinatra, Doris Day, Gig Young, Ethel Barrymore, ",
Letters to Santa,2011.0,A romantic comedy set on Christmas Eve in Warsaw and centered around a series of characters.,Movie,,110.0,7.2,"Comedy, Romance",Mitja Okorn,"Maciej Stuhr, Roma Gasiorowska, Tomasz Karolak, Agnieszka Dygant, ",
I'm Not Ready for Christmas,2015.0,"Holly's world is turned upside down when her niece's wish to Santa Claus comes true and she cannot tell a lie. As her career and love life go into disarray, she must learn to judge between the truth and what is right.",Movie,TV-G,84.0,6.0,"Comedy, Drama, Family",Sam Irvin,"Alicia Witt, George Stults, Brigid Brannagh, Mia Bagley, ",
Christmas Eve,1947.0,"To save her fortune from a designing nephew, Matilda Reed must locate her three long-lost adopted sons in time for a Christmas Eve reunion.",Movie,Passed,90.0,5.7,"Comedy, Drama",Edwin L. Marin,"George Raft, George Brent, Randolph Scott, Joan Blondell, ",
If You Believe,1999.0,"A jaded book editor has nearly given up on happiness, until she bumps her head and gets a visit from her spunky younger self (Hayden Panettiere). Now, the cheerful, carefree seven-year old helps adult Susan rediscover her inner child.",Movie,TV-PG,91.0,6.3,"Comedy, Drama, Fantasy",Alan Metzger,"Ally Walker, Tom Amandes, Hayden Panettiere, Meredith McGeachie, ",
A Christmas Arrangement,2018.0,"A flower shop owner enters the local Holiday Floral Show in an effort to win a cash prize to help keep her struggling business afloat, but she starts to fall for one of her direct competitors.",Movie,TV-14,90.0,5.4,"Comedy, Romance",Jake Helgren,"Nicky Whelan, Miles Fisher, Daphne Zuniga, Julie McNiven, ",
Christmas All Over Again,2016.0,"A mischievous, swag-obsessed boy must overcome his inner Scrooge, or remain caught in a cycle where everyday is a Christmas without presents.",Movie,PG,78.0,3.8,"Comedy, Family",Christy Carlson Romano,"Sean Ryan Fox, Armani Jackson, Christy Carlson Romano, Amber Frank, ",
Soul Santa,2021.0,A shopping mall Santa Claus is the disguise of a businessman that got into trouble with mob's money.,Movie,,,7.1,"Comedy, Romance",Terri J. Vaughn,"Hollis Kempain Abram, Adrian Alvarado, Alex Barber, Gina Barber, ",
Stealing Christmas,2003.0,"Jack Clayton can only escape after his partner in crime Harry Zordich messes up a Christmas sales department store robbery in a Santa suit. Stuck in a rural small town, he finds himself ...                See full summary »",Movie,TV-PG,89.0,5.7,"Comedy, Crime, Drama",Gregg Champion,"Tony Danza, Lea Thompson, Angela Goethals, Betty White, ",
Christmas with a Capital C,2011.0,An attorney returns to his small home town in Alaska and quickly rocks the boat by getting an injunction against the nativity display tradition and attacking Christmas.,Movie,,81.0,4.3,"Comedy, Drama, Family",Helmut Schleppi,"Ted McGinley, Brad Stine, Nancy Stafford, Daniel Baldwin, ",
Staging Christmas,2019.0,A home stager looking to land a promotion offers to plan the company Christmas party in order to sway the boss' decision her way.,Movie,TV-G,85.0,5.5,"Drama, Family, Romance",Amy Barrett,"Soleil Moon Frye, George Stults, Jaleel White, Mia Clark, ",
Love's Christmas Journey,2011.0,"While mourning the loss of her husband and daughter, recently widowed Ellie King (Natalie Hall) visits her brother Aaron Davis (Greg Vaughan) and his children for Christmas. Ellie does her ...                See full summary »",Movie,TV-G,171.0,6.3,"Drama, Family, Romance",David S. Cass Sr.,"Natalie Hall, JoBeth Williams, Greg Vaughan, Dylan Bruce, ",
The National Tree,2009.0,A teenager has his Sitka Spruce tree chosen to be planted outside the White House as the new national Christmas Tree.,Movie,TV-G,88.0,5.8,Drama,Graeme Campbell,"Andrew McCarthy, Evan Williams, Kari Matchett, Paula Brancati, ",
The Man Who Saved Christmas,2002.0,A.C. Gilbert figures out a way to keep Christmas alive after the war threatens to take it away in his name.,Movie,TV-PG,100.0,6.5,"Biography, Drama, Family",Sturla Gunnarsson,"Jason Alexander, Kelly Rowan, Ari Cohen, C. David Johnson, ",
Entertaining Christmas,2018.0,Candace has never lived up to her mom's standards. She's sent in her place to plan a Christmas party.,Movie,TV-G,85.0,6.1,"Comedy, Romance",Robin Dunne,"Jodie Sweetin, Brendan Fehr, Jane Moffat, Ana Araujo, ",
A Sisterly Christmas,2021.0,"Two sisters receive an early Christmas gift, an inheritance that takes them on a luxury holiday vacation. They run into their childhood rival, who digs in on these sisters, testing their resolve as women and their bonds of sisterhood.",Movie,TV-PG,83.0,5.7,"Drama, Romance",Jerry LaMothe,"Deborah Joy Winans, Lisa Michelle Cornelius, Neil Whitely, Miguel Anthony, ",
Always and Forever Christmas,2019.0,A marketing executive makes a trip back home to sell the Christmas gift shop she inherited from her grandfather.,Movie,TV-G,87.0,5.4,"Comedy, Drama, Family",Siobhan Devine,"Lexi Lawson, Mark Ghanimé, Beth Broderick, Cardi Wong, ",
A Cheerful Christmas,2019.0,A woman and her best friend think they landed the job of their dreams by giving people a great Christmas until they get a client who doesn't feel the same way.,Movie,TV-G,83.0,4.9,"Drama, Romance",Marita Grabiak,"Erica Deutschman, Chad Connell, Jennifer Vallance, Tianna Nori, ",
All I Want Is Christmas,2012.0,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA.",Movie,TV-PG,100.0,5.4,"Comedy, Family",Sue Corcoran,"Elliott Gould, David DeLuise, Elijah Nelson, Justin Thomas Howell, ",
Christmas on the Vine,2020.0,A young marketing executive is assigned to help a struggling family-owned winery in a town that has lost its Christmas spirit due to a large wine conglomerate.,Movie,TV-PG,87.0,6.1,"Drama, Romance",Paul A. Kaufman,"Julianna Guill, Jon Cor, Meredith Baxter, Chilton Crane, ",
Jingle Belle,2018.0,A successful jingle writer is cajoled into returning to her hometown to write a song for the 50th anniversary of the annual Christmas Eve concert.,Movie,TV-PG,86.0,5.9,"Drama, Music, Romance",Peter Sullivan,"Tatyana Ali, Cornelius Smith Jr., Loretta Devine, Keshia Knight Pulliam, ",
Reunited at Christmas,2018.0,"Tasked with penning a Christmas novel, a successful writer returns to her late grandmother's home for a family reunion during the holiday season.",Movie,TV-G,85.0,6.2,"Drama, Romance",Steven R. Monroe,"Nikki Deloach, Mike Faiola, Eileen Pedde, Andrew Airlie, ",
A Golden Christmas 3,2012.0,"Heather is a charming, free spirit, and Bobby is a naval officer home from serving overseas. Thanks to a fun-filled theater production of ""A Christmas Carol,"" these two unlucky-in-love childhood friends may fall in love.",Movie,Not Rated,88.0,5.6,"Comedy, Family, Romance",Michael Feifer,"Shantel VanSanten, Rob Mayes, Orson Bean, Nikki Deloach, ",
A Sweet Christmas Romance,2019.0,"When a food stylist finds out the owner of her favorite bakery is retiring and sponsoring a baking contest to see who will be her successor, she enters but then is forced to join forces with a rival chef to try and win.",Movie,TV-G,87.0,6.2,"Comedy, Drama, Romance",Michael Robison,"Adelaide Kane, Greyston Holt, Loretta Devine, Hamza Fouad, ",
The Santa Stakeout,2021.0,"Police detective Tanya is partnered with fellow detective Ryan to solve a recent string of heists. They go undercover as newlyweds, moving into the vacant house next to Mr. Miller, the prime suspect in the case.",Movie,TV-G,84.0,6.4,"Comedy, Crime, Drama",Peter Benson,"Tamera Mowry-Housley, Paul Campbell, Joe Pantoliano, Peter Bryant, ",
Christmas Love Letter,2019.0,"When relationship advice columnist Amalie Hess receives an unsigned love letter in a Christmas card, she returns to her hometown to solve the mystery of who sent it and maybe find true love.",Movie,TV-PG,86.0,6.1,"Comedy, Drama, Mystery",Damián Romay,"Ashley Newbrough, Tilky Jones, Izzy Herbert, Ray Bengston, ",
An Ice Wine Christmas,2021.0,"One of Philadelphia's top wine sommeliers goes home to the magical vineyards of Evergreen, NY to take part in the town's annual Ice Wine Christmas Festival and harvest.",Movie,TV-PG,84.0,5.1,"Comedy, Drama, Romance",Jill Carter,"Roselyn Sanchez, Megha Sandhu, Nck Name, Juan Chioran, ",
Baking Spirits Bright,2021.0,Mira Varma will do everything it takes to protect the core and heart of the family fruitcakes company she loves.,Movie,TV-PG,85.0,5.2,"Drama, Romance",Aubrey Arnason,"Rekha Sharma, Dion Johnstone, Aadila Dosani, Praneet Akilla, ",
Cupid for Christmas,2021.0,"Hoping to land a promotion and become the new Cupid, his hapless apprentice, Ruby, is tasked with finding the perfect match for their most hopeless case yet.",Movie,PG,87.0,5.6,"Comedy, Fantasy, Romance",Blayne Weaver,"Melanie Stone, Ryan Carnes, Natasha Behnam, Cocoa Brown, ",
The Horses of McBride,2012.0,"When Nicki discovers two horses stranded deep in the Rocky Mountain snow, she is determined to find a way to set them free.",Movie,Not Rated,89.0,6.5,"Drama, Family",Anne Wheeler,"Aidan Quinn, MacKenzie Porter, Kari Matchett, Edward Ruttle, ",
Ms. Scrooge,1997.0,"A retelling of ""A Christmas Carol"" by Charles Dickens.",Movie,G,87.0,5.4,"Drama, Fantasy",John Korty,"Cicely Tyson, Katherine Helmond, Michael Beach, John Bourgeois, ",
A Trash Truck Christmas,2020.0,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",Movie,AL,28.0,5.6,"Animation, Short, Adventure",Eddie Rosas,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, ",
Let's Meet Again on Christmas Eve,2020.0,Two college sweethearts reconnect while coordinating a wedding just in time for the holidays.,Movie,TV-PG,87.0,5.7,"Drama, Romance",Jeff Beesley,"Kyla Pratt, Brooks Darnell, Nancy Sorel, Paul Essiembre, ",
Magical Christmas Shoes,2019.0,"A pair of magical shoes step into Noelle's holiday season, allowing her to rediscover her Christmas spirit and find love too.",Movie,TV-G,87.0,6.3,"Comedy, Romance",Robin Dunne,"Erin Karpluk, Damon Runyan, Genelle Williams, Drew Nelson, ",
Christmas Is Here Again,2007.0,"When the evil Krad steals Santa's toy bag he crushes the holiday spirit- and the world's children forget about Christmas. Now, an orphan and her friends embark on a polar adventure to try to stop Krad from destroying Christmas.",Movie,G,74.0,5.1,"Animation, Adventure, Comedy",Robert Zappia,"Darrell Van Citters, Jay Leno, Edward Asner, Kathy Bates, Madison Davenport, ",
A Christmas Proposal,2008.0,Two lawyers dueling over a proposal to turn a quaint mountain town into a ski resort discover they are former childhood sweethearts. Lisa is fighting to protect the hamlet; big-city ...                See full summary »,Movie,PG,84.0,4.6,"Comedy, Drama, Romance",Michael Feifer,"Nicole Eggert, David O'Donnell, Tom Arnold, David DeLuise, ",
Christmas in Canaan,2009.0,"DJ and Rodney don't like each other from the start; Rodney thinks DJ is an ignorant white farm boy, and DJ thinks Rodney acts too smart for his own good. After a school-bus scuffle between ...                See full summary »",Movie,TV-PG,96.0,6.9,"Drama, Family",Neill Fearnley,"Billy Ray Cyrus, Tom Heaton, Jaishon Fisher, Zak Ludwig, ",
Saying Yes to Christmas,2021.0,"A magical Christmas wish makes a career-obsessed woman say ""yes"" to every invitation while she's home for the holidays. However, past feelings get reignited when an old flame joins her hectic schedule of yuletide activities.",Movie,TV-PG,90.0,5.8,"Drama, Romance",Graeme Campbell,"Erika Prevost, Romaine Waite, Zoe Doyle, Sabrina Grdevich, ",
Beaus of Holly,2020.0,"A woman proposes to her boyfriend who says he has to work things out with an ex before he can answer, leaving her to take a romantic sleigh ride alone with a sympathetic driver.",Movie,,88.0,5.7,"Comedy, Romance",Anthony C. Ferrante,"Jennifer Freeman, Johnny Pacar, Michael Copon, Nikki Leigh, ",
Gift of the Magi,2010.0,"Newlywed true lovers Jim and Della Young can barely afford moving into to their new apartment, especially when the second-hand car breaks down. They agree not to buy Chrismas presents that ...                See full summary »",Movie,Not Rated,85.0,5.4,"Drama, Romance",Lisa Mulcahy,"Marla Sokoloff, Mark Webber, Michelle Beamish, Glynis Casson, ",
O' Christmas Tree,1999.0,"Featuring the voices of Edward Asner, Tim Conway and Marie Osmond, this tale is set in a snowy forest on Christmas Eve where a forlorn pine tree feels she is too homely to ever realize her dream of becoming a real Christmas tree.",Movie,TV-G,48.0,6.0,"Animation, Family, Musical",Bert Ring,"Edward Asner, Tim Conway, Marie Osmond, Debi Derryberry, ",
Placido,1961.0,"In a small Spanish town, a group of old ladies decides to celebrate Christmas Eve with a ""seat a poor man at your table"" dinner: each wealthy household of the town will have a homeless ...                See full summary »",Movie,,85.0,7.8,"Comedy, Drama",Luis García Berlanga,"Cassen, José Luis López Vázquez, Elvira Quintillá, Manuel Alexandre, ",
The Cheaters,1945.0,"An eccentric wealthy family facing bankruptcy schemes to steal an inheritance, but an alcoholic ex-actor they take in for Christmas charity complicates their plan.",Movie,Passed,87.0,6.8,"Comedy, Drama, Romance",Joseph Kane,"Joseph Schildkraut, Billie Burke, Eugene Pallette, Ona Munson, ",
The Santa Con,2014.0,Small-time con man Nick DeMarco is ordered by his parole officer to take a minimum-wage job as a department store Santa during the holidays... and he hates it. Near the end of his first ...                See full summary »,Movie,Not Rated,88.0,6.0,"Comedy, Drama, Family",Melissa Joan Hart,"Barry Watson, Melissa Sagemiller, Scott Grimes, Melissa Joan Hart, ",
Puppy Star Christmas,2018.0,"A song-filled new Air Bud 'Pup Star' movie that introduces four new pups to the family, who stow away on Santa's sleigh and find themselves trapped at the North Pole, trying to save the world's Christmas spirit.",Movie,PG,91.0,3.6,"Comedy, Family, Musical",Robert Vince,"Diedrich Bader, Oakley Bull, Tyreese Burnett, Chico, ",
